Tagalog,Part of Speech,Definition
uka-uka,adj,1. full of holes (road); 2. unevenly cut (hair)
uka-ukain,v,"1. dig many holes (road, etc.); 2. cut unevenly (hair)"
ukab,n,big bite (e.g. of an apple)
ukaban,v,take a big bite out of some fruit
ukain,v,hollow out
ukang,n,slow bodily movements
ukasyon,n,occasion
ukilkil,n,persistent inquiring or talking about something
ukilkilin,v,keep asking about something
ukit,n,1. groove; 2. carving; sculpturing
ukit-ukit,adj,having many small holes dug out
ukitan,v,1. carve; 2. whittle; 3. gouge out; 4. make a groove in
ukitin,v,1. carve; 2. whittle; 3. gouge out; 4. make a groove in
uklo,adj,stooped because of heavy load on the shoulder/back
uko,adj,with head bowed (esp. through weakness)
ukod,adj,with head (and back) bent in passing under something
ukod,adj,with head and back bent forward
ukod,adj,with the head bowed out of respect
ukok,adj,"worn in the inside by worms, pus, fire, etc."
ukol,adj,1. intended for; 2. destined; 3. proper; 4. suitable
ukol,n,something destined for a particular person/purpose
ukol sa musika,comp,musical; of music [adj.]
ukol sa/kay/kina,prep,concerning; regarding
ukulan,v,1. spend (e.g. time); 2. set aside (for a later purpose)
ukulele,n,ukulele (small guitar with 4 strings)
ukupado,adj,"1. occupied (house, seat, etc.); 2. occupied; working; 3. busy"
ukupahan,v,1. occupy wholly; 2. take possession of (e.g. a house); 3. occupy (take up space)
ukupante,n,occupant
ukupasyon,n,1. occupation; trade; 2. ownership; 3. which takes up one's time; 4. occupation of a country
ukyabitin,v,1. scramble; 2. grasp forcefully
ulag,n,moult (US: molt) of fowls
ulak,n,spool; reel
ulakan,n,spool; reel
ulalo,n,grub found in tubers
ulam,n,viand (eaten with rice)
ulamin,v,make a dish (viand)
ulan,n,1. rain; rainfall; 2. wet; 3. rain (of anything) [fig.]
ulanag,n,nebula
Ulandes,n,Dutch (person or language)
Ulandesa,n,Dutch woman
ulang,n,lobster; crayfish; crawfish
ulang-tikatik,n,light but continuous rain
ulap,n,cloud; fog; mist
ulapihan,n,scorpion
ulapot,n,small bag
ulasiman,n,species of herb used as amimal fodder
ulat,n,1. statement; 2. report; 3. tax return; 4. minutes
ulay,n,intestinal worm; tapeworm; pinworm
ulayaw,n,pleasant and intimate companionship; tete-a-tete
ulbo,n,pigsty
ulcer,n,ulcer
ule,n,oilcloth
uli,n,oilcloth
uli,adv,again; once more
uli-uli,adv,next time; again
ulian,adj,eccentric; senile
ulianin,adj,eccentric; senile
uliin,v,do again; repeat
ulik-ulik,adj,hesitant; uncertain; wavering
ulikba,n,fowl with dark meat
ulila,n,orphan
ulila sa ama,comp,child whose father is dead
ulila sa ina,comp,child whose mother is dead
ulilahin,v,1. orphan; 2. bereave the parental solicitude
ulilang lubos,n,orphan (child whose parents are both dead)
uling,n,1. charcoal; 2. soot; 3. dirt
uling-aso,n,soot; lampblack
uling-bao,n,charcoal made of coconut shell
uling-kahoy,n,wood charcoal
ulingan,n,place for keeping charcoal
ulingin,v,make into charcoal
ulinig,n,sense of hearing
ulinigin,v,listen to; attend
ulipas,adj,slanting; oblique
ulipores,n,obsequious follower of someone
uliran,n,1. norm; 2. paragon; 3. sample; 4. standard
uliranin,v,1. idealise; idealize; 2. imitate
ulirat,n,consciousness; sense
ulit,n,"time; repetition (e.g. one time, two times, etc.)"
ulit-ulitin,v,1. keep repeating; 2. harp on a subject; 3. reiterate
Ulit!,intrj,Repeat! Once more!
ulitin,v,1. repeat; 2. iterate; 3. quote; 4. reduplicate; 5. reproduce
uliuli,n,eddy
ulnayan,n,social science
ulnayanin,adj,social
ulnayaning batnayan,comp,social philosophy
ulnayaning pag-aaral,comp,social studies
ulnayanon,n,social scientist
ulnong,n,society; social order
ulnuagimatin,adj,socioeconomic
ulnubayanin,n,sociopolitical
ulnukalnangin,adj,sociocultural
ulnungin,adj,social
ulnungin isig,comp,social force
ulnunging kaunlaran,comp,social development
ulo,n,1. head; 2. top; 3. chief; 4. bulb (plant); 5. heading; 6. brains
ulog,adj,deserted; evacuated; depopulated
ulok,n,coaxing; inducing; cajolery
ulol,adj,1. crazy; lunatic; 2. foolish; 3. rabid (having rabies)
ulong,n,confidential conversation
ulong-guro,n,head teacher
ulop,n,fog; mist
ulos,n,long spearlike pointed weapen
ulot,n,1. incitement fo fight; 2. provocation; persuasion
ulpot,n,sudden appearance with the head first
ulsera,n,ulcer
ultaw,n,coming into view with the end appearing first
ultima,adj,last
ultimatum,n,ultimatum
ultimo,adj,last
uluhin,v,"butt; bump with the head in boxing, etc."
ulukan,v,1. coax; cajole; 2. incite; 3. egg on; urge
ululin,v,fool someone
ulumbayan,n,1. capital city; 2. head of a town; mayor
ulumbubong,n,ridge of a roof
ulunan,n,"head (something used as a head, top or front)"
ulung-bayan,n,1. capital city; 2. head of a town; mayor
ulungguro,n,head teacher
ulunlunsod,n,capital city
ulupong,n,zoo. 1. species of cobra; 2. viper (treacherous person) [fig.]
ulusin,v,"pierce with a long, pointed weapon"
uluulo,n,tadpole
uluwa,adj,sticking out
ulwa,adj,sticking out
ulyabid,n,tapeworm
ulyaw,n,re-echo; reverberation
umaalog,n,shaky; rickety
umaasa,adj,expectant; full of expectation
umaasam,adj,expectant; full of expectation
umaba,v,disdain; look upon with scorn
umabala,v,delay; hinder
umabante,v,1. go forward; go ahead; 2. get ahead of; lead in a game
umabay,v,1. escort; 2. act as best man or bridesmaid
umabla,v,talk too much; indulge in idle talk
umabot,v,1. overtake; 2. gain on; 3. end up in
umabot,v,"1. attain; 2. amount to; 3. have within range; 4. range (prices, etc.); 5. extend"
umabsen,v,absent oneself; be absent
umabsent,v,absent oneself; be absent
umabuloy,v,contribute; give money or help
umabuso,v,1. abuse; 2. take advantage of; 3. ill-treat; 4. rape a woman
umabyad,v,"attend to or tackle a job, etc.; have a job in hand"
umadyo,v,1. go upstairs; 2. drop in for a casual visit
umadyos,v,say goodbye
umaga,n,morning
umagahas,v,wheeze; breathe with difficulty and a whistling sound
umagahin,v,be overtaken by morning
umagang-umaga,adj,very early in the morning
umagaog,v,shake strongly and frequently
umagap,v,prevent because of being alert
umagapay,v,stay at the side of
umagaw,v,deprive; take away from; snatch
umagik-ik,v,giggle
umagikik,v,giggle
umagit-it,v,squeak
umagitit,v,squeak
umaglahi,v,jibe; gibe; jeer; scoff
umagnas,v,erode; wear away
umagos,v,flow; stream
umagoy,v,1. move with difficulty; 2. shake (e.g. poorly constructed building)
umagpang,v,adapt; conform (oneself) to
umagrabyado,v,offend; treat unfairly
umaguy-agoy,v,1. move with difficulty; 2. shake (e.g. poorly constructed building)
umagwat,v,come away from slightly; leave a gap
umahit,v,shave (another)
umahon,v,come up; go up
umaing,v,moan and complain
umaing-aing,v,moan and complain
umakap,v,embrace; hug
umakay,v,guide; direct; lead (moral/physical)
umakbay,v,put an arm over the shoulder of another
umakda,v,compose an article or story
umakit,v,draw (e.g. spectators); attract
umaklas,v,strike; stop work
umakma,v,be ready to do something; threaten to do something
umako,v,take upon one's self; answer for
umakyat,v,ascend; climb; go up; shin up
umalaala,v,think of; remember
umalakbay,v,put the arm around someone's shoulder
umalalay,v,1. hold or carry carefully or gently; 2. aid; support
umalam,v,get to know; find out
umalap,v,take one's turn in doing something
umalatiit,v,"squeak (hinges, floor boards, etc.)"
umaldabis,v,slap with the back of the hand
umalembong,v,flirt; make love for fun
umali,v,exercise diabolic influence
umali-aligid,v,keep circling around; hover; loiter; linger about
umalik-ik,v,giggle; chuckle; laugh quietly (to oneself)
umalikot,v,hide so as to avoid work
umalila,v,enslave; make people to slaves
umalimpuyo,v,"form a whirlpool; form a eddy (of dust, etc.)"
umalimura,v,1. criticise unkindly; 2. scold very severely; 3. vilify; defame
umalingasaw,v,reek; give out an unpleasant smell
umalingawngaw,v,1. echo; reverberate; 2. resound; sound loudly; 3. re-echo
umalinsunod,v,conform or accord with
umalintana,v,care about; be concerned about
umalipin,v,1. treat as a slave; 2. enslave
umalipusta,v,insult
umalipuyo,v,form a whirlpool or eddy
umalis,v,go; go away
umaliw,v,comfort; cheer
umaliw-iw,v,murmur (like the sound of flowing water)
umaliwalas,v,become bright
umalkila,v,hire; rent; charter
umalo,v,console; comfort; cheer up
umalog,v,shake with a push or jerk
umalok,v,offer; make a proposition
umalon,v,become wavy; form waves (as the sea does)
umalsa,v,1. expand; swell (dough); 2. heave; rise
umalug-alog,v,keep on shaking or jerking
umalulong,v,howl as a dog does
umalun-alon,v,undulate
umalusitha,v,make a sworn statement; testify to something
umamak,v,tame; subdue; domesticate
umamba,v,make threatening gestures at someone
umambag,v,contribute
umambon,v,shower; drizzle; dribble
umambun-ambon,v,drizzle on an off
umamen,v,kiss the hand of an elder out of respect
umamihan,v,blow from the northeast
umamil-amil,v,mumble; murmur
umamin,v,own up; admit; confess
umamis,v,oppress; offend (esp. because of spite)
umamo,v,become tame
umamot,v,try to buy something at cost price
umamoy,v,savour (US: savor); smell
umampang-ampang,v,toddle; walk with short unsteady steps as a baby does
umampat,v,stop; check; dam up
umampias,v,"come in as rain through open windows, doors or cracked walls"
umampon,v,adopt
umamuki,v,1. induce; persuade; 2. advise; counsel
umandap,v,flicker; glimmer; shimmer
umandap-andap,v,flicker; glimmer; shimmer
umandar,v,1. function; 2. operate; run (machine)
umang,n,trap; snare
umanga-anga,v,keep one's mouth open (showing one's ignorance)
umangal,v,bellow; cry (children); bawl
umangan,v,1. set a trap; 2. point a weapon at
umangat,v,become slightly raised
umangil,v,1. growl; snarl; 2. speak in a sharp and angry tone
umangis,v,give off a repulsive odour (US: odor) (of excreta or putrified food)
umangkas,v,get a ride or lift with someone (in/on a vehicle)
umangkat,v,1. import; 2. buy goods on credit for reselling
umangkin,v,1. claim; 2. adopt; 3. possess; 4. encroach
umangkop,v,adapt; conform (oneself) to
umanib,v,1. join; 2. enlist; 3. affiliate
umaninaw,v,"1. see with difficulty (darkness, etc.); 2. discern (through haze, etc.)"
umanit,v,shave the hair close to the scalp
umano,v,do what; do; (idiomatic use)
umanta,v,become rancid
umantak,v,"feel pain; sting (as a wound, etc.)"
umantala,v,delay; hinder; wait; put off
umantig,v,1. give a friendly reminder; 2. affect; move the heart
umantot,v,smell as stagnant water
umanyo,v,give the appearance of
umapa,v,1. grope for some specific thing; 2. steal some small thing [fig.]
umapaw,v,overflow; flood; inundate
umapela,v,appeal (jur.)
umaperkat,v,give an uppercut (boxing)
umapi,v,oppress
umaplay,v,"apply for (work, etc.)"
umapuhap,v,grope about for something with the hands
umapula,v,check; arrest; stop
umaraw,v,be sunny; have sunshine
umaresto,v,arrest; seize by authority of law
umarkila,v,rent; pay for the use of property
umarko,v,form an arch over
umarok,v,sound the depth of
umarte,v,act artificially or insincerely
umasa,v,1. hope; 2. expect; 3. trust; 4. be dependent on
umasal,v,behave
umasam,v,long for; anxiously await
umasbok,v,"have a sudden gust (of smoke, dust, etc.)"
umasikaso,v,1. attend to; 2. mind; look after
umasim,v,become sour; ferment
umasiste,v,1. attend; 2. assist; help
umasisti,v,1. attend; 2. assist; help
umaso,v,"give off smoke, steam, etc."
umasod,v,deliver a succession of blows
umasta,v,pose
umat,n,slowness; dilatoriness
umatake,v,1. attack; assail; 2. suffer an attack of sickness
umatang,v,help to raise a load onto another's head or shoulders
umatindi,v,attend to
umato,v,attempt; try; venture
umatras,v,back; move backwards
umatraso,v,delay; be delayed
umatsoy,v,jeer; scoff at
umatungal,v,low as cattle do
umatupag,v,attend to something regularly as task or duty
umaw-aw,v,bark; yap (dog)
umawang,v,open a little; leave a gap; be ajar
umawas,v,overflow
umawat,v,pacify or separate quarreling persons
umaway,v,assault
umawit,v,sing
umay,n,surfeit; satiety
umayaw,v,dislike; disapprove; refuse
umayo,v,take sides
umayon,v,1. endorse; 2. assent; 3. adhere to; 4. bow; 5. abide by
umayop,v,humiliate; aggrieve
umayuda,v,aid; supplement
umbang,n,rooting with the snout as a pigs do
umbok,n,1. bulge; 2. convexity; 3. hump; 4. lump
umbong,adj,filled to overflowing
umboy,n,curing meat/fish by smoking
umbrera,n,part of garment fitting neck and shoulders closely
umedad,n,humidity
umedo,adj,humid
umeksamen,v,sit for an examination
umekstra,v,serve as an extra labourer (US: laborer)
umembestiga,v,investigate
umento,n,raise; increase in salary
umentra,v,come in; join in
umepekto,v,react; react chemically
umeskala,v,deviate or turn away from the route
umiba,v,change
umibag,v,dodge; parry
umibig,v,love; fall in love
umibis,v,alight from a vehicle
umid,adj,"speechless (because of fear, shame or shyness)"
umid ang dila,comp,tongue-tied
umidlip,v,doze; sleep lightly; take a nap
umido,adj,humid
umigib,v,"fetch water (from a well, etc.)"
umigik,v,grunt (pigs)
umigkas,v,recoil; spring back
umigsi,v,become shorter; shorten
umigtad,v,dodge; move quickly to one side
umihi,v,urinate
umikay,v,do something thoroughly
umikid,v,coil; wind around something
umikit,v,twirl; whirl; spin
umikli,v,contract; become shorter; shrink
umikot,v,revolve; rotate; circle; swirl; turn around
umiksamen,v,sit for an examination; examine
umilag,v,avoid; give a cold shoulder to; shun
umilaw,v,light [intransitive verb]
umilig,v,1. shake to mix the content; 2. shake a sleeping person to wake up
umiling,v,shake the head as a sign of disagreement
umilit,v,confiscate a property by legal authority
umilit,v,usurp someone's property by force/trickery
umilo,v,crush sugarcane by machine to extract the juice
umilyasyon,n,humiliation
umimbaw,v,leap up; jump on a horse or a moving vehicle
umimbento,v,invent; fabricate; manufacture
umimbulog,v,soar upwards
umimid,v,look askance
umimik,v,speak; talk
umimpis,v,"deflate; let air/gas out of a tire, balloon, ball, etc."
umimpit,v,corner; buy up something to raise it's price
umimprenta,v,print
uminat,v,stretch (oneself); extend one's body or limbs
uminda,v,be affected by; feel
umindak,v,dance gracefully
umindayog,v,have rhythm
umingaw,v,meow
umingay,v,become noisy
umingil,v,growl; snarl
umingit,v,whimper; whine
umingkanto,v,bewitch; put under a spell
uminis,v,annoy; exasperate
uminis,v,choke; smother
uminit,v,become warm/hot
uminit nang labis,v,overheat; become too hot
umino,v,1. take notice of; 2. call attention to defects
uminog,v,whirl; spin; rotate
uminom,v,drink; imbibe
uminsulto,v,insult
umintindi,v,1. take care of; 2. care about; 3. pay attention to; 4. try to understand
umiral,v,exist; prevail; bind
umirap,v,sneer; leer; show dislike by a scornful look
umiri,v,"make effort to expel something from the bowels, or to give birth"
umirit,v,give a signal by whistling; shriek; scream
umis,n,shadow of a smile; slight smile
umisip,v,think of; hatch; plan
umiskala,v,deviate or turn away from the route
umiskape,v,gallop; go at a gallop
umiskor,v,score; make points in a game
umismid,v,show contempt; sneer at
umisod,v,move on one's buttocks
umistima,v,entertain
umit,n,petty thieving; theft; filching
umitim,v,become black/dark in colour (US: color)
umitin,v,pocket; take secretly or dishonestly
umitlog,v,lay an egg
umiwas,v,avoid; escape; abstain from; dodge
umiyak,v,cry; weep
umok,n,"small worm found in rice, bread, etc."
umopera,v,operate on (surgically)
umpis,adj,"deflated (balloons, tyres/tires, etc.)"
umpisa,n,start; beginning; introduction
umpisahan,v,introduce; begin
umpog,n,1. bumping the head against something hard; 2. collision of two hard objects
umpok,n,small group of people; small crowd
umpukan,n,small group of people; small crowd
umubo,v,cough
umubos,v,deplete; empty; consume
umudlot,v,jerk; draw back; stop suddenly
umuga,v,sway; swing back and forth
umugin,v,beat a person to helplessness
umugit,v,"1. manage a ship, aeroplane, etc.; 2. manage; lead"
umugong,v,1. roar; hum; 2. thunder; 3. resound
umugoy,v,swing; sway; rock
umugud-ugod,v,hobble; walk awkwardly
umuguy-ugoy,v,1. dangle; 2. oscillate
umuha,v,cry (newborn baby)
umuk-ok,v,1. wear away from inside; 2. cave in (the ground)
umuka,v,hollow out
umukab,v,take a big bite (e.g. of some fruit)
umukilkil,v,keep asking about something
umukin,v,1. wear away from inside; 2. cave in (the ground)
umukit,v,1. carve; 2. whittle; 3. gouge out; 4. make a groove in
umuko,v,bow the head
umukupa,v,1. engross; 2. take possession of (e.g. a house); 3. occupy (take up space)
umukyabit,v,1. scramble; 2. grasp forcefully
umulan,v,rain
umuli,v,1. do again; 2. reoccur
umulit,v,repeat; do over again
umulok,v,1. coax; cajole; 2. incite; 3. egg on; urge
umulol,v,fool someone
umulos,v,pierce with a long and pointed weapon
umumbok,v,1. swell; bulge; 2. hump
umumit,v,1. pilfer; filch; 2. take/do secretly
umumog,v,beat a person to helplessness
umuna,v,go before; go ahead (of)
umunat,v,unbend; become straight
umunawa,v,understand
umunga,v,moo; low (cattle)
umungal,v,1. bellow; roar as a bull; 2. cry loud and long; howl
umungkat,v,bring up something (as a reminder to someone)
umungol,v,1. growl (dog); 2. grumble; complain sullenly
umungos,v,project; jut out
umungot,v,whine; mumble; whimper
umunlad,v,develop; make headway; thrive
umunos,v,blow as the wind (esp. at sea)
umunti,v,1. decrease; diminish; 2. ebb; wane
umunti nang umunti,comp,dwindle; become smaller and smaller
umuntol,v,suddenly stop temporarily
umuntos,v,become less intense; subside
umunu-uno,v,stammer
umupa,v,1. rent; pay rent; 2. retain; employ
umupat,v,instigate or urge on by intrigue
umupo,v,1. sit up; 2. sit down; sit on
umuri,v,classify; arrange according to kind
umurong,v,1. go back; 2. withdraw; 3. retreat; 4. indent; 5. back; 6. shrink
umurung-sulong,v,1. waver; move to and fro; 2. oscillate
umus-os,v,slip; slide down
umusap,v,ask the help of others; ask a favour (US: favor) [coll.]
umusbong,v,sprout
umusig,v,1. prosecute; 2. persecute [rel.]
umusli,v,protrude; project
umuso,v,follow the fashion of the day
umusok,v,"1. give off smoke, steam, etc.; 2. smoulder (US: smolder)"
umut-ot,v,suck the nipple of the breast or udder
umutal-utal,v,1. stutter; stammer; 2. stumble in the words
umutang,v,get a loan; borrow money
umutas,v,1. completely finish; 2. kill; murder
umutay-utay,v,plod away; work/proceed little by little
umutdo,v,lack the required length
umuto,v,make a fool of someone
umutot,v,break wind
umuuga,v,loose; shaky; wobbly; unsteady
umuulan-ulan,v,showery; raining in showers
umuwi,v,1. go home; return home; 2. come home
umuyam,v,taunt; jeer at; mock
una,adj,1. first; foremost; 2. earliest; 3. primary; 4. previous; 5. ahead
una,adv,at the beginning; for the first time; before
una,n,the first
una-una,adv,1. primarily; principally; 2. one by one
unahan,v,1. forestall; 2. preoccupy
unahan,n,1. front; 2. head; 3. competition in accomplishment
unahin,v,do first before anything else
unan,n,1. pillow; 2. base (baseball)
unan-unanan,n,small pillow
Unang Ginang ng bansa,comp,First Lady
unang kailangan,comp,prerequisite [n]
unang panahon,comp,antiquity [n]
unang panauhan,comp,first person [gram.]
unang sapin,comp,key bed (petro)
unang tikim,comp,foretaste; trying something for the first time
unang titik,comp,initial; the first letter of a word
unanin,v,use as a pillow
unano,n,dwarf; pigmy; midget
unat,adj,1. stretched; 2. straight
unatin,v,1. straighten; smooth over; 2. flatten; make flat
unawa,n,grasp; comprehension; notion; realization
unawaan,n,mutual understanding
unawain,v,heed; give careful attention to
undap,n,flickering of light
undayon,n,swinging something in an arc
undok,n,oscillation
undot,n,falling back suddenly when startled
undras,n,All Saints' Day
unga,n,moo of cattle
ungal,n,bellow of animals; howling (persons/animals)
ungas,1,adj.; 2. n 1. stupid; ignorant; 2. ignoramus; nitwit
unggo,n,monkey
unggoy,n,monkey
ungguwento,n,ointment
ungi,adj,harelipped [med.]
ungi,adj,tilted; not properly balanced
ungi,n,harelip [med.]
ungkat,n,bringing up something again
ungkatin,v,bring up something (as a reminder to someone)
ungko,n,act of sitting with the back bent forward (e.g. tired)
ungko,n,first unintelligible sounds made by babies
ungol,n,1. growl; 2. grunt; moan; 3. murmur; mutter (complaint)
ungos,n,advantage; superiority
ungos,n,ledge; projection
ungos,n,upper lip; snout
ungot,n,mumbling; whining; whimper
ungulan,v,growl
ungutan,v,whine; whimper; mumble
unibersal,adj,universal; all-round; versatile
unibersidad,n,university
uniform,n,uniform (clothes)
union,n,1. union; unity; 2. consolidation; 3. spool piece
uniporme,n,uniform (clothes)
unipormihan,v,clothe with a uniform
unit,n,unit; credit given in school
unlapi,n,prefix; addition at the beginning of a word
unlapian,v,prefix; put a syllable at the beginning of a word to make another word
uno,n,stammering (esp. from embarrassment)
unos,n,very strong wind with strong rain; gale; squall
unos,n,weevil found in grain; wood borer
unsik,1,adj.; 2. n 1. tiny; very small; 2. tininess; smallness
unsiyami,adj,stunted in growth
unsiyon,n,unction
unsyami,n,stunted in growth
unsyon,n,unction
untag,n,reminder (to someone)
untagin,v,mention something by way of a reminder
untay,adj,"twisted (wire, rope, etc.)"
unti,n,littleness; smallness
unti-unti,adv,1. little by little; 2. bit by bit; 3. gradually
unti-untiin,v,1. use sparingly; 2. do something little by little
untian,v,1. make small/smaller; 2. make less
untik,n,nearness (to something happening)
untik-untik,adv,in small bits at a time
untog,n,bump on the head (deliberately)
untol,n,1. temporary stopping of activity; 2. sudden stop
untos,n,lessening; decrease; diminution
untugin,n,bump the head deliberately
unyon,n,1. union; unity; 2. consolidation; 3. spool piece
uod,n,worm; grub; caterpillar; maggot
uom,n,1. nightmare; 2. suffocation/death while sleeping
upa,n,1. rent; 2. hire charge; 3. wage; 4. remuneration
upahan,v,lease; rent
upahan,adj,for hire
upak,n,1. act of doing with gusto; 2. cruel attack on someone
upak,n,1. bark of trees; 2. husk; 3. sheathing (e.g. of banana plant)
upakan,n,1. eat with relish; 2. attack someone cruelly
upakan,v,husk; bark
upan,gram,1. in order to; 2. that; 3. to; 4. whereby [conj.]
upan,n,seat
upandin,gram,1. in order to; 2. that; 3. to; 4. whereby [conj.]
upang,gram,1. in order to; 2. that; 3. to; 4. whereby [conj.]
upas,n,removing leaves of plants
upasala,n,scolding; insulting language; vituperation
upat,n,attempt to get something by artifice; inducement
upatan,v,instigate or urge on by intrigue
upaw,n,baldness
upaw,adj,bald
upisina,n,office (the physical office)
upisyo,n,trade; occupation; employment
uplak,1,n.; 2. adj. 1. extreme hunger; 2. extremely hungry
upo,n,vine (bearing gourds)
upo,n,sitting; act of sitting
upod,adj,worn-out (tools)
upong,n,end point
upos,adj,1. submerged to the bottom; 2. sunk to the hilt (e.g.sword to the sheath)
upos,adj,"consumed down to the butt (candles, cigarettes, etc.)"
upos,n,1. cigar/cigarette stub; 2. butt of a candle
upuan,n,1. sitting; act of sitting; 2. seat (to sit on)
upungan,v,feed a fire with dry wood
urakulo,n,oracle
urali,n,incitement (to obtain something) through artifice or deception
urang,n,long stakes for fencing (put up a fence)
urangutang,n,orangutan; orang-outang
uranium,n,uranium (U)
uranyo,n,uranium (U)
urasan,n,timepiece; clock; watch
uraw,n,very loud cry
urbanidad,n,urbanity; good manners
uri,n,1. kind; 2. sort; 3. category; 4. social rank; 5. qualilty; 6. species
uri ng tono,comp,timbre; quality in sounds
uri-uri,adj,of all kinds
uri-uriin,v,classify; arrange according to kind
uria,n,selvedge (on a fabric)
uriin,v,classify; arrange according to kind
uriing kapnayan,comp,qualitative chemistry
uring nakahahambal,comp,pathos
urinola,n,urinal; chamber pot
urinola-tsata,n,flat metal bedpan
urira,n,inquisitiveness; persistent inquiry
uriya,n,selvedge (on fabrics)
urna,n,1. urn; 2. ballot box
urong,n,1. retrogression; 2. retreat; 3. contraction (wood)
urong,n,1. shrinkage in fabrics; 2. recoil; 3. retraction (e.g. of lips)
urong,n,postponement of some activity to a later date
urong,n,removal of food/dishes from table after eating
urong,n,revocation of something in speech or act
urong,adj,receding; sloping backward
uroy,n,mockery; sneering at
urtikarya,n,urticaria; rash
urung-sulong,adj,indecisive; irresolute; wavering
urungan,v,"back into something (car, etc.)"
urungan,n,place where to one can retreat/retire
urupel,n,tinsel; foil
us-os,n,slipping; sliding down
usa,n,deer
usad,n,moving along on a seat or the floor on one's buttocks
usang,n,dripping of wax from a candle
usang babae,n,female deer; doe; hind
usang barako,n,stag; full-grown male deer
usang lalaki,n,roebuck; male deer
usap-usapan,n,rumour (US: rumor)
usapan,n,1. conversation; 2. conference
usapin,v,ask the help of others; ask a favour (US: favor) [coll.]
usapin,n,1. case; lawsuit; 2. cause; case
usbong,n,1. sprout; 2. bud; 3. growth of plants; 4. offspring [fig.]
usig,n,1. persecution; 2. investigation; 3. prosecution
usigin,v,1. prosecute; 2. persecute [rel.]
usisa,n,1. inquiry; 2. examination
usisain,v,1. inquire; 2. examine; 3. investigate; 4. sound
usisera,1,n.; 2. adj. 1. very inquisitive person; 2. overly inquisitive
usisero,1,n.; 2. adj. 1. very inquisitive person; 2. overly inquisitive
uslak,adj,silly; foolish
usli,n,1. bulge; 2. projection (something that sticks out)
usngal,adj,protruding (teeth)
uso,n,style; fashion; vogue
usog,n,flatulence; stomach gas
usok,n,1. smoke; 2. fumes; 3. vapour (US: vapor)
usong,n,carrying of a load by two or more persons
usos,n,slipping; sliding down
usugan,v,be troubled by flatulence
usura,n,usury
usurya,n,usury
ususera,n,usurer
ususero,n,usurer
usyoso,adj,1. watching; 2. lazy; 3. curious
ut-ot,n,act of sucking the nipple of the breast or udder
ut-utin,v,suck the nipple of the breast or udder
utab,n,mortise made on the side of a board
utak,n,1. brain; 2. brains; intellect; 3. mastermind
utak sa buto,comp,marrow
utal,adj,defective in speech; stammering
utang,n,1. debt; 2. indebtedness; 3. debit; 4. bill; 5. loan
utang-na-loob,comp,debt of gratitude
utangan,v,be in debt to; borrow money from
utangin,v,buy on credit
utas,adj,1. completely finished; 2. dead; 3. completely obsessed with
utasin,v,1. completely finish; 2. kill; murder
utaw,n,soybean
utay-utay,adv,gradually; little by little
utay-utayin,v,plod away; work/proceed little by little
utdo,n,lack of the required length/measure
utduhan,v,shorten
utero,n,uterus; womb
util,adj,useful
utin,n,penis
utita,adj,inquisitive; curious
utitab,n,mucous film over eyeballs/eyelids
utitab,n,species of small spider
uto,n,simpleton
utod,adj,1. cut off/worn-out at the end; 2. lacking in length
utol,n,term for one's brother/sister [coll.]
utong,n,1. teat; 2. nipple of a milk bottle for babies
utos,n,1. command; 2. direction; 3. injunction; 4. will; 5. edict
utot,n,wind from anus
utu-uto,adj,foolish; idiotic
utuin,v,make a fool of
utus-utusan,v,order about; tell to do this and that
utusan,v,1. order; 2. command; 3. admonish; 4. charge under oath
utusan,n,servant
utusan nang utusan,v,boss; give too many orders
utusang babae,comp,maidservant
utusang lalaki,n,male servant
utuuto,adj,foolish; idiotic
uubra,adj,possible; can be
uugud-ugod,adv,decrepitly
uum,n,1. nightmare; 2. suffocation/death while sleeping
uumin,v,1. have a nightmare; 2. die in one's sleep
uupan,n,seat
uurin,v,become infested with worms or grubs
uwak,n,crow; raven
uwang,n,horned beetle (infecting palm trees)
uwangin,v,be infected with horned beetle
uway,n,species of rattan
uwi,n,anything brought home after a trip
uwian,v,1. go home to someone; 2. take home something to someone
uwian,n,end of working hours; end of school hours (the usual time)
uwido,n,ear for music
uwiduhin,v,play music by ear
uya,n,earthen jar with narrow mouth
uyad,n,awkwardness of movement in walking
uyam,n,mocking; jeering; sarcasm
uyamin,v,taunt; jeer at; mock
uyan,n,compensation
uyaw,n,ridicule; scorn
uyayi,n,1. cradle song; lullaby; 2. cradle
uyot,n,1. loss of balance/equilibrium; 2. frustration
Wa!,intrj,"1. Shoo! (driving away animals, etc.); 2. excl. of surprise"
waag,adj,open; clear (ref. to a place/space)
waak,n,long rip/tear
waak,adj,torn; ripped
waang,n,1. big hole; 2. long rip/tear
wadwad,adj,uncovered; exposed to the elements
wagas,adj,1. pure; 2. perfect; 3. faithful; 4. absolute [mat.]
wagwag,n,wag; wagging motion
wagwag,n,variety of rice
wagwagan,v,"get rid of dust, water, etc. from something by shaking it"
wahak,n,long tear/rip
wahak,adj,"torn/ripped downwards (ref. to cloth, etc.)"
wahakin,v,rip/tear vigorously
wahi,n,"1. dividing line in hair, grass, reeds, etc.; 2. dispersal of smoke, steam, clouds, etc."
wahiin,v,"1. part hair, grass, reeds, etc.; 2. disperse smoke, steam, mist, etc."
